Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2017-05-04,14590,1114822,768744,1232467,678826,491954,4301403
2017-05-05,15426,1244576,815204,1370465,733759,521392,4700822
2017-05-06,11486,1101255,652032,1224390,606353,372572,3968088
2017-05-07,10648,1001395,561644,1071707,523156,323808,3492358
2017-05-08,14592,1065752,741542,1182708,636020,467804,4108418
2017-05-09,14308,1053231,760860,1196268,660182,489412,4174261
2017-05-10,14650,1072977,765714,1218147,667897,490784,4230169
2017-05-11,14699,1079130,767418,1226614,667066,488187,4243114
2017-05-12,15809,1201032,811680,1395949,723998,524510,4672978
2017-05-13,12336,1020694,642568,1227144,570716,356376,3829834
2017-05-14,8734,899147,517004,1008987,469548,291212,3194632
2017-05-15,13770,1025462,741780,1181792,635120,471431,4069355
2017-05-16,14842,1031496,773594,1203782,665513,488342,4177569
2017-05-17,14724,1082576,761190,1216603,662087,484269,4221449
2017-05-18,14834,1094666,757689,1216739,664221,485669,4233818
2017-05-19,15754,1259716,837351,1414188,744516,536268,4807793
2017-05-20,12276,1173382,677274,1279300,636380,402406,4181018
2017-05-21,10184,1038142,574996,1098405,528056,335228,3585011
2017-05-22,14256,1076480,741592,1181290,634418,462089,4110125
2017-05-23,14573,1057986,750232,1192036,650066,477947,4142840
2017-05-24,14679,1049522,764148,1213334,660960,485250,4187893
2017-05-25,14723,1069206,766529,1225815,667552,490518,4234343
2017-05-26,15655,1182507,803086,1354057,701972,505722,4562999
2017-05-27,10509,957460,574202,1131126,531914,322484,3527695
2017-05-28,10102,991339,536106,1054584,504333,307886,3404350
2017-05-29,9050,985669,516710,1026048,468416,305274,3311167
2017-05-30,7271,764824,430656,874795,380152,256834,2714532
2017-05-31,14608,1086995,748210,1214809,645826,481506,4191954
2017-06-01,14816,1072506,752109,1223640,654682,496282,4214035
2017-06-02,14572,1015706,742552,1221696,643372,490072,4127970
2017-06-03,12670,949992,691770,1220429,611948,433716,3920525
2017-06-04,9238,777104,486989,972956,484292,286512,3017091
2017-06-05,13779,1030887,742484,1180994,643128,463299,4074571
2017-06-06,14572,1055135,747437,1201812,654734,477175,4150865
2017-06-07,14702,1069749,757976,1214144,658256,481152,4195979
2017-06-08,14455,1066126,752318,1219026,659196,478898,4190019
2017-06-09,15474,1180662,801890,1358944,711888,508586,4577444
2017-06-10,12849,1094388,682199,1275008,619346,367603,4051393
2017-06-11,9986,917210,554920,1060623,485626,299736,3328101
2017-06-12,14046,1029005,737496,1184152,631310,463896,4059905
2017-06-13,14239,1033604,745965,1217262,646798,476450,4134318
2017-06-14,14348,993089,760782,1198997,652683,483264,4103163
2017-06-15,15048,1057794,780968,1264056,686528,494400,4298794
2017-06-16,15508,1129216,808713,1358760,723778,511616,4547591
2017-06-17,10198,876222,587834,1132704,546124,335410,3488492
2017-06-18,8691,778603,498724,979244,465136,276857,3007255
2017-06-19,14290,1021522,742120,1200364,641508,469252,4089056
2017-06-20,14420,1041628,744904,1207886,649190,474248,4132276
2017-06-21,14468,1062748,751772,1253410,658027,489159,4229584
2017-06-22,14402,1076022,755214,1279318,663827,491695,4280478
2017-06-23,14488,1162392,792160,1400891,715886,515401,4601218
2017-06-24,11078,1025683,631573,1255142,594884,362866,3881226
2017-06-25,10341,942033,527154,1059938,491404,295588,3326458
2017-06-26,14024,1019105,713920,1201742,631878,445724,4026393
2017-06-27,14009,1039330,724274,1212358,650758,459888,4100617
2017-06-28,14524,1045122,733447,1232048,652328,464654,4142123
2017-06-29,14440,1049826,736144,1249424,658069,465814,4173717
2017-06-30,15153,1171784,791462,1422500,722876,505916,4629691
2017-07-01,10886,983918,594820,1173927,536342,341052,3640945
2017-07-02,9535,911134,522818,1055109,487980,297720,3284296
2017-07-03,13692,1036278,713072,1214127,630032,442481,4049682
2017-07-04,13960,1034402,726790,1230414,646594,457122,4109282
2017-07-05,14235,1064778,739271,1263848,662375,468203,4212710
2017-07-06,14474,1072052,737750,1275632,667531,471200,4238639
2017-07-07,14897,1131036,764548,1393542,700346,498006,4502375
2017-07-08,10568,1016559,613934,1250169,579084,355282,3825596
2017-07-09,9836,916620,526504,1086154,484218,300693,3324025
2017-07-10,13998,1041153,728191,1262108,640124,461198,4146772
2017-07-11,14414,1056587,739062,1262886,666447,468314,4207710
2017-07-12,14820,1072544,747289,1289550,674404,478552,4277159
2017-07-13,14849,1089238,750894,1302850,678858,489431,4326120
2017-07-14,15097,1147553,767336,1375898,710372,488066,4504322
2017-07-15,11455,1042934,623728,1227592,585443,358476,3849628
2017-07-16,9536,926584,527784,1066218,488555,295881,3314558
2017-07-17,14082,1048502,736002,1218066,629413,447058,4093123
2017-07-18,13863,1049492,732963,1250441,658790,468616,4174165
2017-07-19,14227,1047988,735818,1248178,650127,469224,4165562
2017-07-20,14830,1063440,739844,1257138,660642,473779,4209673
2017-07-21,15110,1143767,757684,1357491,691202,482262,4447516
2017-07-22,10988,1016696,599538,1192409,552858,347483,3719972
2017-07-23,8669,901970,509637,1034606,472917,284072,3211871
2017-07-24,13478,1034820,706936,1206374,627612,443166,4032386
2017-07-25,13862,1047952,727241,1232048,650781,464208,4136092
2017-07-26,13921,1049080,733854,1242520,663343,465496,4168214
2017-07-27,14032,1059154,734458,1257218,659568,472196,4196626
2017-07-28,14294,1115842,758092,1352072,686743,481086,4408129
2017-07-29,8140,702198,443428,854066,391552,235310,2634694
2017-07-30,5578,568668,345820,695982,315536,179008,2110592
2017-07-31,13480,988396,714264,1187863,624561,442600,3971164
2017-08-01,13774,1043824,729872,1213848,643802,459570,4104690
2017-08-02,13705,1029290,722120,1218030,640161,458450,4081756
2017-08-03,14092,1069609,737776,1257478,661266,468235,4208456
2017-08-04,14635,1131468,758680,1359336,689781,483114,4437014
2017-08-05,10400,1023233,612660,1221977,613612,342964,3824846
2017-08-06,8731,882686,518917,1058941,495698,287075,3252048
2017-08-07,13944,1038210,719178,1234847,632108,446594,4084881
2017-08-08,13756,1034225,722810,1216002,637486,455439,4079718
2017-08-09,13934,1070735,743723,1271576,666370,468489,4234827
2017-08-10,14128,1111522,749876,1291011,672403,472683,4311623
2017-08-11,14672,1186501,773296,1392399,716441,487034,4570343
2017-08-12,11222,1115072,632795,1298651,594424,360204,4012368
2017-08-13,9693,969382,528854,1086812,489945,293131,3377817
2017-08-14,13660,1067616,714771,1233950,632348,439104,4101449
2017-08-15,14048,1080350,734862,1265269,667818,466362,4228709
2017-08-16,13927,1069031,734516,1261386,658235,463256,4200351
2017-08-17,13995,1086796,737459,1269604,657050,463232,4228136
2017-08-18,14748,1161229,766804,1370136,690253,482440,4485610
2017-08-19,10754,1055559,616100,1249060,607790,356587,3895850
2017-08-20,9486,942696,534541,1098176,501718,300412,3387029
2017-08-21,13702,1040872,711966,1229306,653592,442904,4092342
2017-08-22,13567,1045764,722642,1235642,657992,464242,4139849
2017-08-23,13962,1074271,742820,1271378,680284,477675,4260390
2017-08-24,14354,1075357,739347,1271608,702630,471953,4275249
2017-08-25,14814,1175739,770878,1370174,722704,485875,4540184
2017-08-26,11807,1137782,660938,1268480,685690,352400,4117097
2017-08-27,9562,939884,527920,1065326,507587,302168,3352447
2017-08-28,14046,1085116,721201,1272241,685713,450568,4228885
2017-08-29,14058,1035431,719615,1224862,662836,455514,4112316
2017-08-30,14500,1019304,733698,1216296,683158,464881,4131837
2017-08-31,14786,1029668,733301,1238091,641768,462567,4120181
2017-09-01,15176,1087938,765898,1316089,685744,482344,4353189
2017-09-02,9944,934546,574842,1122646,534198,324864,3501040
2017-09-03,8058,787356,472832,945572,432290,254935,2901043
2017-09-04,14282,1019077,717918,1178254,627280,444198,4001009
2017-09-05,14194,985246,711862,1160544,627268,449754,3948868
2017-09-06,14958,1039688,742766,1241720,651824,473156,4164112
2017-09-07,14912,1037433,740761,1255306,657160,475060,4180632
2017-09-08,15637,1110106,769735,1359331,692388,500494,4447691
2017-09-09,10802,1009557,616410,1215386,580664,349128,3781947
2017-09-10,9033,905936,525708,1014919,478209,281800,3215605
2017-09-11,14578,1028316,732178,1199358,643552,459886,4077868
2017-09-12,14791,1046266,749565,1215286,658545,475926,4160379
2017-09-13,14320,942577,724029,1154754,625592,462523,3923795
2017-09-14,14394,967208,733712,1179663,639634,465569,4000180
2017-09-15,15805,1144292,791930,1359463,708064,509618,4529172
2017-09-16,10684,1059148,647847,1226905,603861,363058,3911503
2017-09-17,9401,917287,529832,1051809,484926,301025,3294280
2017-09-18,14682,1032570,743960,1175404,636277,466901,4069794
2017-09-19,14860,1043255,756750,1192080,668662,481778,4157385
2017-09-20,15150,1066437,772574,1225080,667144,489602,4235987
2017-09-21,15301,1079064,766968,1220948,666450,485192,4233923
2017-09-22,15926,1191819,804564,1365182,722468,517780,4617739
2017-09-23,11870,1057234,648043,1239960,591388,378026,3926521
2017-09-24,9538,918183,517020,1042776,477946,293608,3259071
2017-09-25,14558,1044938,741358,1179228,635494,465324,4080900
2017-09-26,15131,1046210,756540,1189117,652972,478766,4138736
2017-09-27,15173,1068202,770162,1215282,670200,487038,4226057
2017-09-28,14964,1074221,756784,1228694,684565,492202,4251430
2017-09-29,15379,1153532,796659,1317518,727828,512058,4522974
2017-09-30,13890,1115231,739548,1301348,689232,454495,4313744
2017-10-01,9380,916904,534174,1051748,500221,304728,3317155
2017-10-02,14647,1066142,749626,1197452,651270,471591,4150728
2017-10-03,15481,1136906,791507,1281713,695001,510718,4431326
2017-10-04,7527,747140,464078,883962,428555,271862,2803124
2017-10-05,14388,1113046,754995,1223854,670586,479020,4255889
2017-10-06,15555,1223306,793142,1357042,720361,504298,4613704
2017-10-07,10284,1026168,573594,1153872,574943,316186,3655047
2017-10-08,9362,982932,514344,1087186,496248,292046,3382118
2017-10-09,9724,1009369,517366,1059396,481248,299637,3376740
2017-10-10,8606,860166,474401,980864,446360,274405,3044802
2017-10-11,14375,1034173,748180,1187230,644713,473571,4102242
2017-10-12,14983,1015416,771109,1198146,661620,485291,4146565
2017-10-13,16150,1098579,810128,1332040,715144,514805,4486846
2017-10-14,10204,858274,567902,1110240,541910,318272,3406802
2017-10-15,8772,803026,489262,992632,453828,269868,3017388
2017-10-16,14590,1052894,754604,1204229,651760,472996,4151073
2017-10-17,15222,1053475,773570,1223896,670772,495992,4232927
2017-10-18,14996,1069390,779380,1247164,677808,499714,4288452
2017-10-19,15344,1076910,784985,1281132,684461,501294,4344126
2017-10-20,16158,1184575,829212,1416793,738192,527788,4712718
2017-10-21,12782,1099318,685861,1326272,631638,380581,4136452
2017-10-22,11052,1013470,574085,1127971,526234,317272,3570084
2017-10-23,14676,1061840,750766,1206034,645740,470936,4149992
2017-10-24,15023,1063742,765430,1223454,664626,490095,4222370
2017-10-25,15186,1089638,774018,1241830,673188,496876,4290736
2017-10-26,15136,1101254,774968,1261996,675530,495712,4324596
2017-10-27,16240,1240200,817766,1418516,735731,525380,4753833
2017-10-28,11303,1183182,659136,1320401,630256,398825,4203103
2017-10-29,9764,1020162,551234,1128734,511266,317722,3538882
2017-10-30,14626,1086281,757962,1212565,648180,474608,4194222
2017-10-31,14740,1069484,761690,1205971,661596,489521,4203002
2017-11-01,15052,1064584,767654,1204580,666662,492440,4210972
2017-11-02,15062,1076780,764834,1200708,663086,492058,4212528
2017-11-03,16003,1189638,818987,1380244,723608,528547,4657027
2017-11-04,11750,1044296,649869,1258386,607946,383970,3956217
2017-11-05,9881,937854,542724,1095476,506828,316954,3409717
2017-11-06,14716,1054453,752396,1207066,642300,474490,4145421
2017-11-07,14752,1073666,762384,1206734,656902,488040,4202478
2017-11-08,15176,1076478,767753,1237858,679836,497958,4275059
2017-11-09,14951,1087810,774622,1275382,675408,516906,4345079
2017-11-10,16164,1214504,816872,1419927,732357,552608,4752432
2017-11-11,13562,1094678,675360,1316194,630060,422954,4152808
2017-11-12,11552,976727,560552,1137320,511249,333719,3531119
2017-11-13,14604,1048007,755318,1243770,656246,491536,4209481
2017-11-14,14840,1065692,770308,1230978,667160,502287,4251265
2017-11-15,15067,1085828,772788,1252576,672112,514215,4312586
2017-11-16,15386,1120118,773788,1268712,677862,512523,4368389
2017-11-17,16153,1234000,820710,1452642,736884,560084,4820473
2017-11-18,11986,1068836,661654,1347357,611392,417604,4118829
2017-11-19,9426,929714,552650,1175644,508234,341436,3517104
2017-11-20,14905,1062488,763566,1283497,665037,517851,4307344
2017-11-21,15106,1082072,771327,1221778,671689,496401,4258373
2017-11-22,15091,1088767,777114,1240772,680087,497130,4298961
2017-11-23,15536,1116011,786274,1256490,693309,498708,4366328
2017-11-24,16290,1247562,827212,1415896,751418,532850,4791228
2017-11-25,12646,1029538,644714,1276932,593094,364175,3921099
2017-11-26,9727,956993,539274,1096618,502646,298510,3403768
2017-11-27,14686,1074741,751902,1210121,649608,470105,4171163
2017-11-28,14834,1113983,766486,1229087,672872,495126,4292388
2017-11-29,14916,1135747,773560,1242170,677910,497526,4341829
2017-11-30,15391,1121398,774322,1251762,682812,500580,4346265
2017-12-01,16102,1224572,821900,1408292,741366,534224,4746456
2017-12-02,11587,1126106,687704,1399112,614084,371070,4209663
2017-12-03,10671,1023278,571213,1193141,540500,321377,3660180
2017-12-04,14672,1089182,748390,1217206,648166,473627,4191243
2017-12-05,15107,1094948,780000,1241697,675264,492876,4299892
2017-12-06,15124,1119926,789265,1275969,689553,502468,4392305
2017-12-07,15376,1129642,800808,1318274,705222,515973,4485295
2017-12-08,16705,1273132,849002,1509414,764631,547580,4960464
2017-12-09,12579,1170498,708262,1523850,691260,393584,4500033
2017-12-10,10923,1156960,598642,1299594,563782,350316,3980217
2017-12-11,14982,1113484,755676,1277223,665984,481178,4308527
2017-12-12,15311,1100324,797956,1288745,697940,512138,4412414
2017-12-13,15566,1119386,796345,1310700,709618,516774,4468389
2017-12-14,15479,1159462,796658,1333462,705283,515249,4525593
2017-12-15,16740,1292914,844133,1533226,766148,556613,5009774
2017-12-16,13554,1165794,704030,1595250,675826,409238,4563692
2017-12-17,10750,1056124,598374,1373558,582946,337266,3959018
2017-12-18,15033,1116936,788248,1304695,690468,495030,4410410
2017-12-19,15578,1115532,806586,1308050,710480,508021,4464247
2017-12-20,15570,1166519,806890,1344241,717366,517246,4567832
2017-12-21,15586,1159038,800323,1354290,714645,516569,4560451
2017-12-22,16202,1288290,841593,1527798,772238,546562,4992683
2017-12-23,13954,1301786,745358,1681472,714125,430278,4886973
2017-12-24,10901,1131431,602694,1404630,563693,352830,4066179
2017-12-25,14856,1182640,775137,1411692,694682,500416,4579423
2017-12-26,15007,1155192,791388,1309648,695672,510989,4477896
2017-12-27,15166,1167277,797372,1330247,712905,516000,4538967
2017-12-28,15314,1186322,799672,1341883,716824,521719,4581734
2017-12-29,16094,1303052,847121,1500756,771014,553422,4991459
2017-12-30,11428,1166826,650692,1426072,632466,386102,4273586
2017-12-31,11954,1362000,668614,1694221,646123,440192,4823104
2018-01-01,1155,111966,53794,117353,38592,28896,351756
